[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Tulsa,-,-,-,-,-,-,3,2,3,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Virginia-Main Campus,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Villanova University,-,3,3,-,2,-,1,1,2,3,10,12,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Virginia Commonwealth University,5,5,9,6,3,-,4,-,1,3,1,3,3,5,5,3,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Virginia International University,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Walden University,30,62,46,18,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Walsh College of Accountancy and Business Administration,-,-,-,-,-,1,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Washington State University,2,4,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Washington University in St Louis,13,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Wayne State University,-,-,-,-,-,-,-,-,2,2,2,2,3,4,2,7,2,4,2,9,5
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Webster University,-,-,-,-,-,-,-,-,-,-,-,1,3,-,9,6,4,5,2,9,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",West Chester University of Pennsylvania,-,-,-,-,-,2,1,2,1,-,-,-,2,8,2,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Westwood College-Los Angeles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Winston-Salem State University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Yale University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Youngstown State University,1,1,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Total for selected values,465,335,246,257,208,198,204,155,162,168,166,197,191,143,169,261,295,221,88,85,72
Postbaccalaureate certificate,11.04 - Information Science/Studies,American University,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,-,4,7,5,5
Postbaccalaureate certificate,11.04 - Information Science/Studies,Bowie State University,6,34,10,-,-,-,-,-,-,-,1,-,-,1,-,2,1,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Capitol Technology University,-,-,-,-,-,-,-,-,-,2,-,3,-,3,10,6,1,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,City University of Seattle,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,9,9,17,4,2,3
Postbaccalaureate certificate,11.04 - Information Science/Studies,Claremont Graduate University,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Dakota State University,10,12,9,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Denver Technical At Colorado Springs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,10,8,5,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Denver Technical College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,98,61,9,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Dominican University,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Drexel University,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,EDP University of Puerto Rico Inc-San Juan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Elizabethtown College,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,George Mason University,13,25,10,3,-,1,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Golden Gate University-San Francisco,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Grand Valley State University,2,1,3,3,1,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Hawaii Pacific University,3,28,7,14,7,-,-,-,-,-,4,-,2,-,-,2,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Hood College,7,7,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Idaho State University,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,2,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Illinois Institute of Technology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,12,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Inter American University of Puerto Rico-Metro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,12,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Johns Hopkins University,2,6,6,8,5,6,9,7,10,8,6,25,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Kent State University at Kent,3,3,1,2,1,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,La Salle University,-,-,-,-,-,-,-,9,3,7,1,1,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Loyola University New Orleans,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Marist College,-,-,-,-,-,-,-,-,-,-,-,-,4,5,20,-,-,1,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Marymount University,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Missouri University of Science and Technology,3,2,-,-,13,17,18,7,16,8,7,5,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Muhlenberg College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Postbaccalaureate certificate,11.04 - Information Science/Studies,New Jersey Institute of Technology,5,1,5,11,2,2,4,-,1,4,1,4,7,4,-,4,2,1,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Northwestern University,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Norwich University,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Pace University-New York,-,-,1,-,1,1,-,1,-,-,-,-,-,-,6,8,3,1,-,2,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Pace University-White Plains,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Great Valley,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Pennsylvania State University-Penn State Harrisburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,3,12,6,15,7
Postbaccalaureate certificate,11.04 - Information Science/Studies,Pennsylvania State University-World Campus,65,100,83,95,42,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Regis University,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Rensselaer at Hartford,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Rochester Institute of Technology,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Roosevelt University,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Shenandoah University,-,-,-,-,-,-,3,7,7,2,1,1,2,10,3,9,3,4,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,St Catherine University,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,2,-,-,-,2,2
Postbaccalaureate certificate,11.04 - Information Science/Studies,Stony Brook University,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-District of Columbia,-,-,-,-,-,-,1,-,3,4,8,11,1,8,3,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Florida,-,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Georgia,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Global Region,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Maryland,-,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-North Carolina,-,-,-,3,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Pennsylvania,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-South Carolina,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Tennessee,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Texas,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Strayer University-Virginia,-,-,-,-,-,7,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Syracuse University,-,-,1,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,The Economics Institute,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,The University of Texas at Dallas,197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Towson University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,12,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Arkansas at Little Rock,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Cincinnati-Main Campus,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Denver,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Maryland-University College,60,72,62,70,75,93,107,57,65,83,88,82,91,86,37,17,6,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Nebraska at Omaha,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of North Texas,36,19,26,21,31,23,36,37,43,40,35,48,49,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Pittsburgh-Pittsburgh Campus,-,-,-,-,-,-,-,1,-,1,-,1,1,-,2,-,-,-,-,-,7
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Puerto Rico-Rio Piedras,-,-,-,-,-,-,-,-,-,-,3,-,1,2,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,University of Richmond,-,-,-,-,7,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Virginia Commonwealth University,9,8,14,10,10,6,5,12,10,6,7,9,10,18,31,60,59,88,55,55,47
Postbaccalaureate certificate,11.04 - Information Science/Studies,Washington University in St Louis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Westwood College-Aurora Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,17,32,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Westwood College-Denver North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,36,-,-,-,-
Postbaccalaureate certificate,11.04 - Information Science/Studies,Wright State University-Main Campus,3,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Total for selected values,65,47,46,18,28,31,25,9,8,17,7,3,6,11,22,10,15,3,-,3,2
Postbaccalaureate certificate,11.07 - Computer Science,Brandeis University,-,-,-,-,-,1,2,3,-,1,1,1,4,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Chicago State University,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Drexel University,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Georgia Southwestern State University,-,1,3,-,2,1,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Indiana University-Northwest,3,2,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Kennesaw State University,10,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Marist College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Marymount University,-,-,-,-,-,-,-,-,-,4,1,-,-,2,9,3,9,1,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Missouri University of Science and Technology,4,1,4,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Monmouth University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Pace University-New York,-,-,-,-,-,-,-,2,-,-,2,-,1,4,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Saint Edward's University,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Seattle University,25,14,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Simpson College,-,1,-,-,1,1,-,-,1,-,-,-,-,4,10,6,6,2,-,2,-
Postbaccalaureate certificate,11.07 - Computer Science,Southern Methodist University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
Postbaccalaureate certificate,11.07 - Computer Science,Southern Polytechnic State University,-,-,-,3,5,6,5,1,3,11,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Stevens Institute of Technology,7,20,12,8,14,19,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Texas State University,5,5,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Tufts University,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,University of Memphis,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,University of Nebraska at Omaha,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,University of North Carolina at Charlotte,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Worcester Polytechnic Institute,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,11.07 - Computer Science,Youngstown State University,-,-,-,-,-,-,1,3,4,-,-,2,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Total for selected values,112,110,153,82,88,97,59,31,21,56,28,51,35,18,11,2,1,-,-,1,1
Postbaccalaureate certificate,14.09 - Computer Engineering,Carnegie Mellon University,1,3,11,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Duke University,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,George Mason University,6,3,5,7,-,6,1,3,4,7,4,8,7,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,George Washington University,-,-,-,-,-,-,-,-,-,1,2,2,2,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Hawaii Pacific University,-,-,18,4,4,-,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Illinois Institute of Technology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Indiana University-Purdue University-Indianapolis,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Kansas State University,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Kennesaw State University,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Missouri University of Science and Technology,2,-,1,3,1,3,4,14,4,9,5,4,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Naval Postgraduate School,20,5,2,8,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,New Jersey Institute of Technology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,New York University,-,2,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,North Dakota State University-Main Campus,3,1,1,1,8,1,1,2,-,2,-,7,2,2,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Northern New Mexico College,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Oregon Health & Science University,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,14.09 - Computer Engineering,Pace University-New York,-,-,4,1,-,1,14,-,-,13,-,-,-,-,-,-,-,-,-,-,-
